symbol,timeframe,candidate_count,parquet_path,status,error_message
TRXUSD,M15,0,candidates/TRXUSD/M15.parquet,complete,
TRXUSD,M30,0,candidates/TRXUSD/M30.parquet,complete,
TRXUSD,H1,0,candidates/TRXUSD/H1.parquet,complete,
TRXUSD,H4,1,candidates/TRXUSD/H4.parquet,complete,
TRXUSD,D1,44,candidates/TRXUSD/D1.parquet,complete,
UK100,M5,9,candidates/UK100/M5.parquet,complete,
UK100,M15,13,candidates/UK100/M15.parquet,complete,
UK100,M30,26,candidates/UK100/M30.parquet,complete,
UK100,H1,44,candidates/UK100/H1.parquet,complete,
UK100,H4,68,candidates/UK100/H4.parquet,complete,
UK100,D1,49,candidates/UK100/D1.parquet,complete,
US100,M5,10,candidates/US100/M5.parquet,complete,
US100,M15,36,candidates/US100/M15.parquet,complete,
US100,M30,58,candidates/US100/M30.parquet,complete,
US100,H1,63,candidates/US100/H1.parquet,complete,
US100,H4,70,candidates/US100/H4.parquet,complete,
US100,D1,61,candidates/US100/D1.parquet,complete,
US30,M5,18,candidates/US30/M5.parquet,complete,
US30,M15,44,candidates/US30/M15.parquet,complete,
US30,M30,63,candidates/US30/M30.parquet,complete,
US30,H1,54,candidates/US30/H1.parquet,complete,
US30,H4,66,candidates/US30/H4.parquet,complete,
US30,D1,59,candidates/US30/D1.parquet,complete,
US500,M5,7,candidates/US500/M5.parquet,complete,
US500,M15,8,candidates/US500/M15.parquet,complete,
US500,M30,14,candidates/US500/M30.parquet,complete,
US500,H1,25,candidates/US500/H1.parquet,complete,
US500,H4,63,candidates/US500/H4.parquet,complete,
US500,D1,61,candidates/US500/D1.parquet,complete,
USDCAD,M5,4,candidates/USDCAD/M5.parquet,complete,
USDCAD,M15,6,candidates/USDCAD/M15.parquet,complete,
USDCAD,M30,22,candidates/USDCAD/M30.parquet,complete,
USDCAD,H1,28,candidates/USDCAD/H1.parquet,complete,
USDCAD,H4,70,candidates/USDCAD/H4.parquet,complete,
USDCAD,D1,52,candidates/USDCAD/D1.parquet,complete,
USDCHF,M5,8,candidates/USDCHF/M5.parquet,complete,
USDCHF,M15,5,candidates/USDCHF/M15.parquet,complete,
USDCHF,M30,17,candidates/USDCHF/M30.parquet,complete,
USDCHF,H1,26,candidates/USDCHF/H1.parquet,complete,
USDCHF,H4,69,candidates/USDCHF/H4.parquet,complete,
USDCHF,D1,55,candidates/USDCHF/D1.parquet,complete,
USDJPY,M5,12,candidates/USDJPY/M5.parquet,complete,
USDJPY,M15,13,candidates/USDJPY/M15.parquet,complete,
USDJPY,M30,44,candidates/USDJPY/M30.parquet,complete,
USDJPY,H1,49,candidates/USDJPY/H1.parquet,complete,
USDJPY,H4,67,candidates/USDJPY/H4.parquet,complete,
USDJPY,D1,52,candidates/USDJPY/D1.parquet,complete,
USDMXN,M5,6,candidates/USDMXN/M5.parquet,complete,
USDMXN,M15,9,candidates/USDMXN/M15.parquet,complete,
USDMXN,M30,23,candidates/USDMXN/M30.parquet,complete,
USDMXN,H1,39,candidates/USDMXN/H1.parquet,complete,
USDMXN,H4,66,candidates/USDMXN/H4.parquet,complete,
USDMXN,D1,61,candidates/USDMXN/D1.parquet,complete,
USDNOK,M5,4,candidates/USDNOK/M5.parquet,complete,
USDNOK,M15,12,candidates/USDNOK/M15.parquet,complete,
USDNOK,M30,17,candidates/USDNOK/M30.parquet,complete,
USDNOK,H1,31,candidates/USDNOK/H1.parquet,complete,
USDNOK,H4,67,candidates/USDNOK/H4.parquet,complete,
USDNOK,D1,53,candidates/USDNOK/D1.parquet,complete,
USDSGD,M5,0,candidates/USDSGD/M5.parquet,complete,
USDSGD,M15,5,candidates/USDSGD/M15.parquet,complete,
USDSGD,M30,10,candidates/USDSGD/M30.parquet,complete,
USDSGD,H1,19,candidates/USDSGD/H1.parquet,complete,
USDSGD,H4,66,candidates/USDSGD/H4.parquet,complete,
USDSGD,D1,56,candidates/USDSGD/D1.parquet,complete,
USDZAR,M5,4,candidates/USDZAR/M5.parquet,complete,
USDZAR,M15,8,candidates/USDZAR/M15.parquet,complete,
USDZAR,M30,18,candidates/USDZAR/M30.parquet,complete,
USDZAR,H1,41,candidates/USDZAR/H1.parquet,complete,
USDZAR,H4,64,candidates/USDZAR/H4.parquet,complete,
USDZAR,D1,50,candidates/USDZAR/D1.parquet,complete,
XAGUSD,M5,9,candidates/XAGUSD/M5.parquet,complete,
XAGUSD,M15,32,candidates/XAGUSD/M15.parquet,complete,
XAGUSD,M30,47,candidates/XAGUSD/M30.parquet,complete,
XAGUSD,H1,58,candidates/XAGUSD/H1.parquet,complete,
XAGUSD,H4,68,candidates/XAGUSD/H4.parquet,complete,
XAGUSD,D1,58,candidates/XAGUSD/D1.parquet,complete,
XAUUSD,M5,24,candidates/XAUUSD/M5.parquet,complete,
XAUUSD,M15,48,candidates/XAUUSD/M15.parquet,complete,
XAUUSD,M30,64,candidates/XAUUSD/M30.parquet,complete,
XAUUSD,H1,72,candidates/XAUUSD/H1.parquet,complete,
XAUUSD,H4,72,candidates/XAUUSD/H4.parquet,complete,
XAUUSD,D1,58,candidates/XAUUSD/D1.parquet,complete,
XBRUSD,M5,4,candidates/XBRUSD/M5.parquet,complete,
XBRUSD,M15,1,candidates/XBRUSD/M15.parquet,complete,
XBRUSD,M30,17,candidates/XBRUSD/M30.parquet,complete,
XBRUSD,H1,28,candidates/XBRUSD/H1.parquet,complete,
XBRUSD,H4,59,candidates/XBRUSD/H4.parquet,complete,
XBRUSD,D1,61,candidates/XBRUSD/D1.parquet,complete,
XNGUSD,M5,3,candidates/XNGUSD/M5.parquet,complete,
XNGUSD,M15,1,candidates/XNGUSD/M15.parquet,complete,
XNGUSD,M30,4,candidates/XNGUSD/M30.parquet,complete,
XNGUSD,H1,16,candidates/XNGUSD/H1.parquet,complete,
XNGUSD,H4,59,candidates/XNGUSD/H4.parquet,complete,
XNGUSD,D1,57,candidates/XNGUSD/D1.parquet,complete,
XRPUSD,M5,0,candidates/XRPUSD/M5.parquet,complete,
XRPUSD,M15,12,candidates/XRPUSD/M15.parquet,complete,
XRPUSD,M30,13,candidates/XRPUSD/M30.parquet,complete,
XRPUSD,H1,37,candidates/XRPUSD/H1.parquet,complete,
XRPUSD,H4,72,candidates/XRPUSD/H4.parquet,complete,
XRPUSD,D1,56,candidates/XRPUSD/D1.parquet,complete,
XTIUSD,M5,0,candidates/XTIUSD/M5.parquet,complete,
XTIUSD,M15,4,candidates/XTIUSD/M15.parquet,complete,
XTIUSD,M30,18,candidates/XTIUSD/M30.parquet,complete,
XTIUSD,H1,34,candidates/XTIUSD/H1.parquet,complete,
XTIUSD,H4,64,candidates/XTIUSD/H4.parquet,complete,
XTIUSD,D1,56,candidates/XTIUSD/D1.parquet,complete,
