symbol,timeframe,regime,strategy_name,param_hash,quality_score,rank,val_trades,val_pf,val_return,val_dd,val_sharpe,val_win_rate,train_trades,train_pf,train_return,is_tuned
GBPCAD,H4,CHOP,VortexTrendStrategy,692bd5e5f33f8c40,59.25658714624307,2,36,1.871,16.14,2.86,4.809,52.78,105,1.219,12.55,True
GBPCAD,D1,TREND,BollingerBounceStrategy,1e266ed6b0844ea9,71.68961261947834,1,12,4.699,7.54,0.98,12.948,83.33,28,1.573,5.75,False
GBPCHF,M30,TREND,SupplyDemandImpulseRetestStrategy,38eabba2323c3c02,59.929759542041275,1,20,1.898,7.82,2.1,5.006,60.0,51,1.261,6.76,True
GBPCHF,H1,TREND,OBVDivergenceStrategy,55a2d7c753cd4dcf,44.74984369688488,2,70,1.406,15.06,7.09,2.656,50.0,172,1.225,23.59,True
GBPCHF,H1,RANGE,OBVDivergenceStrategy,2ef21e18a443b3ab,51.056703078534525,3,11,2.038,5.36,3.82,5.313,54.55,37,1.599,10.47,True
GBPCHF,H1,CHOP,EMAPullbackContinuationStrategy,b660a2cda6425f0c,44.79504256343473,1,45,1.38,9.11,4.38,2.467,46.67,153,1.321,29.47,True
GBPCHF,H4,TREND,AroonTrendStrategy,8eeaf6a561224aa3,66.2840345545863,1,38,2.07,17.87,1.91,5.666,57.89,91,1.235,13.08,True
GBPCHF,H4,CHOP,ParabolicSARTrendStrategy,2f086f87630b351d,53.049839339633955,4,25,1.534,5.56,2.1,3.296,52.0,83,1.237,9.65,False
GBPCHF,D1,TREND,TurtleSoupReversalStrategy,75acd0cd4598d001,72.65866640158232,1,27,3.212,10.9,1.21,9.463,81.48,49,1.381,5.7,True
GBPJPY,M5,RANGE,MomentumBurstStrategy,39f08a97a68683fa,57.95898691071205,1,30,1.673,8.2,2.16,4.049,63.33,120,1.362,19.14,True
GBPJPY,M15,CHOP,RSITrendFilteredMRStrategy,925fd0ab5db5791e,61.37123223263951,1,21,2.35,12.13,2.34,6.531,57.14,74,1.155,6.1,True
GBPJPY,M30,TREND,EMAPullbackContinuationStrategy,0ed8cdcd7606c491,37.165572680583445,5,666,1.188,74.94,14.16,1.361,55.41,1562,1.269,881.51,True
GBPJPY,M30,RANGE,ADXDIStrengthStrategy,6eae145805eb7238,63.979756025439066,1,10,2.987,6.56,1.06,8.578,70.0,26,1.288,3.44,True
GBPJPY,M30,CHOP,KeltnerBreakoutStrategy,2df1e5c41209b088,37.25415516798409,3,193,1.281,39.13,14.37,1.932,57.51,581,1.269,453.43,True
GBPJPY,H1,TREND,EMAPullbackContinuationStrategy,f90e45b4175b43d5,54.63848427158478,1,599,1.328,88.65,7.77,2.17,67.61,1436,1.322,400.04,True
GBPJPY,H1,RANGE,ParabolicSARTrendStrategy,105663920a93d679,55.500785851992426,2,67,1.523,8.07,3.38,3.114,76.12,195,1.226,11.1,True
GBPJPY,H1,CHOP,ParabolicSARTrendStrategy,112a4d86c6198aa0,58.30478101948923,1,30,1.937,11.4,2.9,5.133,56.67,117,1.301,20.42,True
GBPJPY,H4,TREND,EMACrossoverStrategy,63d7869f9f409ac6,57.86246503167953,1,48,1.687,15.89,2.9,4.074,54.17,141,1.163,11.92,False
GBPJPY,H4,CHOP,ZScoreVWAPReversionStrategy,c3912febb09c31da,66.52386195018136,1,11,4.286,6.51,1.0,11.991,81.82,7,2.321,2.57,False
GBPJPY,D1,TREND,ParabolicSARTrendStrategy,2f086f87630b351d,59.53099596348988,2,14,2.622,7.28,1.81,7.432,64.29,20,1.721,5.76,False
GBPJPY,D1,CHOP,MomentumBurstStrategy,0ede61dfd27e36ac,73.14131866305617,1,35,3.017,5.77,0.77,7.994,88.57,109,1.215,4.53,True
GBPUSD,M15,CHOP,ADXDIStrengthStrategy,1f1dcfa2b3b5556b,53.06076278072382,1,23,1.84,11.21,3.99,4.525,47.83,77,1.247,11.82,True
GBPUSD,M30,RANGE,VolumeSpikeMomentumStrategy,871362a86bacf0ab,56.13303452438619,2,36,1.734,11.9,2.96,4.254,52.78,113,1.18,12.17,True
GBPUSD,M30,CHOP,SupplyDemandImpulseRetestStrategy,efdab8f8b79f3830,51.73930057579195,2,46,1.423,7.37,2.77,2.747,52.17,149,1.103,8.51,True
GBPUSD,H1,TREND,EMAPullbackContinuationStrategy,ff79d44c1f83d1ab,63.526874443419246,1,474,1.372,90.42,5.77,2.434,63.29,1223,1.215,455.3,True
GBPUSD,H1,RANGE,KeltnerBreakoutStrategy,c496717aa78f142e,68.84049681538583,1,76,2.089,33.85,3.05,5.821,69.74,188,1.272,45.62,True
GBPUSD,H1,CHOP,KaufmanAMATrendStrategy,0a06a1ff2fdeabe7,51.438464637317644,3,92,1.5,23.21,5.4,3.187,53.26,233,1.15,16.7,True
GBPUSD,H4,TREND,ParabolicSARTrendStrategy,ee589c69e1a342c0,59.83268868881941,1,67,1.842,24.12,3.87,4.812,58.21,156,1.163,13.22,True
GBPUSD,H4,RANGE,HullMATrendStrategy,9871ecf8f4d798d9,67.61608146456815,2,17,3.718,10.45,1.81,10.814,76.47,46,1.235,4.91,True
GBPUSD,H4,CHOP,HullMATrendStrategy,60bd47503a591c9b,63.61348652388738,1,75,1.885,9.09,2.36,4.361,85.33,175,1.028,1.02,True
GBPUSD,D1,TREND,TRIXMomentumStrategy,d674c9796f2af835,74.51237153865945,1,11,5.57,9.56,0.96,13.229,81.82,22,1.237,2.69,False
GBPUSD,D1,CHOP,VolatilityBreakoutStrategy,48b820b22c3a3fb3,51.16041676169947,4,12,1.91,5.38,2.88,4.747,50.0,33,1.607,10.54,False
